지역(소),2019 01분기,2019 02분기,2019 03분기,2019 04분기
광화문,0.7,0.7,0.7,0.7
동대문,0.0,3.5,3.5,4.6
명동,0.0,0.0,0.0,0.0
남대문,6.2,6.2,11.3,13.3
시청,2.1,2.1,2.1,6.6
을지로,6.1,6.1,6.1,6.1
종로,2.8,3.2,2.4,1.8
충무로,0.8,0.8,1.3,0.8
강남대로,2.1,2.1,2.1,2.1
논현역,9.3,9.3,9.3,9.3
도산대로,0.0,0.0,0.0,0.0
서초,0.0,0.0,0.0,0.0
신사역,18.2,18.2,0.0,0.0
압구정,6.7,6.4,6.4,14.5
청담,0.0,0.0,0.0,0.0
테헤란로,1.8,1.8,1.8,1.8
공덕역,0.0,0.0,0.0,0.0
신촌,5.2,5.2,5.1,0.0
영등포,1.9,0.0,0.0,0.0
홍대합정,4.3,1.4,6.3,7.3
건대입구,0.0,0.0,0.0,0.0
경희대,0.0,3.2,0.0,0.0
군자,0.0,0.0,0.0,0.0
목동,0.0,0.0,28.6,28.6
불광역,0.0,0.0,0.0,0.0
사당,9.0,9.0,9.0,9.0
서울대입구역,5.5,5.5,5.5,5.5
성신여대,0.0,0.0,2.5,2.5
수유,0.0,0.0,0.0,7.0
신림역,0.0,0.0,8.3,1.4
오류동역,6.4,8.6,7.5,6.4
왕십리,0.0,3.4,3.4,3.4
용산,3.0,3.0,3.0,3.0
이태원,0.0,0.0,0.0,0.0
잠실,2.0,2.0,2.0,2.0
장안동,0.0,0.0,0.0,4.8
천호,6.5,1.4,1.4,0.0
청량리,2.4,3.8,3.9,3.9
혜화동,0.0,4.4,4.4,5.4
화곡,2.3,2.3,2.3,2.3
