"기준_년_코드","기준_분기_코드","시군구_코드","시군구_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"2020","1","11110","종로구","HH","정체","128","63","110","54"
"2020","1","11140","중구","HH","정체","134","62","110","54"
"2020","1","11170","용산구","HH","정체","120","57","110","54"
"2020","1","11200","성동구","LH","상권확장","105","57","110","54"
"2020","1","11215","광진구","LL","다이나믹","106","52","110","54"
"2020","1","11230","동대문구","HH","정체","122","56","110","54"
"2020","1","11260","중랑구","LL","다이나믹","108","51","110","54"
"2020","1","11290","성북구","HH","정체","112","56","110","54"
"2020","1","11305","강북구","LL","다이나믹","106","51","110","54"
"2020","1","11320","도봉구","LL","다이나믹","104","51","110","54"
"2020","1","11350","노원구","LL","다이나믹","102","51","110","54"
"2020","1","11380","은평구","LL","다이나믹","105","53","110","54"
"2020","1","11410","서대문구","HH","정체","115","55","110","54"
"2020","1","11440","마포구","LL","다이나믹","93","51","110","54"
"2020","1","11470","양천구","LL","다이나믹","105","51","110","54"
"2020","1","11500","강서구","LL","다이나믹","94","50","110","54"
"2020","1","11530","구로구","LL","다이나믹","109","52","110","54"
"2020","1","11545","금천구","LL","다이나믹","103","52","110","54"
"2020","1","11560","영등포구","HL","상권축소","115","54","110","54"
"2020","1","11590","동작구","HH","정체","115","57","110","54"
"2020","1","11620","관악구","LL","다이나믹","108","52","110","54"
"2020","1","11650","서초구","HH","정체","118","54","110","54"
"2020","1","11680","강남구","LL","다이나믹","102","50","110","54"
"2020","1","11710","송파구","LH","상권확장","108","54","110","54"
"2020","1","11740","강동구","LL","다이나믹","106","50","110","54"
"2020","2","11110","종로구","HH","정체","129","63","111","54"
"2020","2","11140","중구","HH","정체","136","63","111","54"
"2020","2","11170","용산구","HH","정체","121","57","111","54"
"2020","2","11200","성동구","LH","상권확장","106","57","111","54"
"2020","2","11215","광진구","LL","다이나믹","107","52","111","54"
"2020","2","11230","동대문구","HH","정체","123","57","111","54"
"2020","2","11260","중랑구","LL","다이나믹","109","51","111","54"
"2020","2","11290","성북구","HH","정체","113","56","111","54"
"2020","2","11305","강북구","LL","다이나믹","106","51","111","54"
"2020","2","11320","도봉구","LL","다이나믹","105","51","111","54"
"2020","2","11350","노원구","LL","다이나믹","103","51","111","54"
"2020","2","11380","은평구","LL","다이나믹","105","53","111","54"
"2020","2","11410","서대문구","HH","정체","115","56","111","54"
"2020","2","11440","마포구","LL","다이나믹","94","51","111","54"
"2020","4","11110","종로구","HH","정체","133","63","114","54"
"2020","4","11140","중구","HH","정체","141","64","114","54"
"2020","4","11170","용산구","HH","정체","124","58","114","54"
"2020","4","11200","성동구","LH","상권확장","108","57","114","54"
"2020","4","11215","광진구","LL","다이나믹","110","53","114","54"
"2020","4","11230","동대문구","HH","정체","126","57","114","54"
"2020","4","11260","중랑구","LL","다이나믹","111","51","114","54"
"2020","4","11290","성북구","HH","정체","115","57","114","54"
"2020","4","11305","강북구","LL","다이나믹","109","51","114","54"
"2020","4","11320","도봉구","LL","다이나믹","108","51","114","54"
"2020","4","11350","노원구","LL","다이나믹","106","52","114","54"
"2020","4","11470","양천구","LL","다이나믹","108","51","114","54"
"2020","4","11500","강서구","LL","다이나믹","97","51","114","54"
"2020","4","11530","구로구","HL","상권축소","114","53","114","54"
"2020","2","11470","양천구","LL","다이나믹","106","51","111","54"
"2020","2","11500","강서구","LL","다이나믹","95","50","111","54"
"2020","2","11530","구로구","LL","다이나믹","111","52","111","54"
"2020","2","11545","금천구","LL","다이나믹","105","52","111","54"
"2020","2","11560","영등포구","HH","정체","116","54","111","54"
"2020","2","11590","동작구","HH","정체","115","57","111","54"
"2020","2","11620","관악구","LL","다이나믹","109","52","111","54"
"2020","2","11650","서초구","HH","정체","119","54","111","54"
"2020","2","11680","강남구","LL","다이나믹","103","50","111","54"
"2020","2","11710","송파구","LH","상권확장","109","54","111","54"
"2020","2","11740","강동구","LL","다이나믹","107","50","111","54"
"2020","3","11110","종로구","HH","정체","131","63","113","54"
"2020","3","11140","중구","HH","정체","138","63","113","54"
"2020","3","11170","용산구","HH","정체","122","58","113","54"
"2020","3","11200","성동구","LH","상권확장","107","57","113","54"
"2020","3","11215","광진구","LL","다이나믹","108","53","113","54"
"2020","3","11230","동대문구","HH","정체","124","57","113","54"
"2020","3","11260","중랑구","LL","다이나믹","110","51","113","54"
"2020","3","11290","성북구","HH","정체","114","56","113","54"
"2020","3","11305","강북구","LL","다이나믹","107","51","113","54"
"2020","3","11320","도봉구","LL","다이나믹","106","51","113","54"
"2020","3","11350","노원구","LL","다이나믹","104","51","113","54"
"2020","3","11380","은평구","LL","다이나믹","106","53","113","54"
"2020","3","11410","서대문구","HH","정체","117","56","113","54"
"2020","3","11440","마포구","LL","다이나믹","95","51","113","54"
"2020","3","11470","양천구","LL","다이나믹","107","51","113","54"
"2020","3","11500","강서구","LL","다이나믹","96","50","113","54"
"2020","3","11530","구로구","LL","다이나믹","112","52","113","54"
"2020","3","11545","금천구","LL","다이나믹","106","52","113","54"
"2020","3","11560","영등포구","HH","정체","117","54","113","54"
"2020","3","11590","동작구","HH","정체","116","57","113","54"
"2020","3","11620","관악구","LL","다이나믹","110","52","113","54"
"2020","3","11650","서초구","HH","정체","121","54","113","54"
"2020","3","11680","강남구","LL","다이나믹","104","50","113","54"
"2020","3","11710","송파구","LL","다이나믹","111","54","113","54"
"2020","3","11740","강동구","LL","다이나믹","108","51","113","54"
"2020","4","11380","은평구","LL","다이나믹","107","53","114","54"
"2020","4","11410","서대문구","HH","정체","118","56","114","54"
"2020","4","11440","마포구","LL","다이나믹","96","51","114","54"
"2020","4","11545","금천구","LL","다이나믹","108","52","114","54"
"2020","4","11560","영등포구","HH","정체","119","54","114","54"
"2020","4","11590","동작구","HH","정체","117","58","114","54"
"2020","4","11620","관악구","LL","다이나믹","111","53","114","54"
"2020","4","11650","서초구","HH","정체","123","55","114","54"
"2020","4","11680","강남구","LL","다이나믹","106","50","114","54"
"2020","4","11710","송파구","LL","다이나믹","112","54","114","54"
"2020","4","11740","강동구","LL","다이나믹","109","51","114","54"
