"기준_년_코드","기준_분기_코드","시군구_코드","시군구_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"2019","1","11260","중랑구","LL","다이나믹","105","50","107","53"
"2019","1","11350","노원구","LL","다이나믹","98","50","107","53"
"2019","1","11380","은평구","LL","다이나믹","101","52","107","53"
"2019","1","11410","서대문구","HH","정체","112","54","107","53"
"2019","1","11440","마포구","LL","다이나믹","90","50","107","53"
"2019","1","11470","양천구","LL","다이나믹","102","50","107","53"
"2019","1","11500","강서구","LL","다이나믹","92","50","107","53"
"2019","1","11530","구로구","LL","다이나믹","106","51","107","53"
"2019","1","11545","금천구","LL","다이나믹","101","51","107","53"
"2019","1","11560","영등포구","HH","정체","112","53","107","53"
"2019","1","11380","은평구","LH","상권확장","101","52","104","51"
"2019","1","11620","관악구","HL","상권축소","104","51","104","51"
"2019","1","11710","송파구","LL","다이나믹","97","49","104","51"
"2019","2","11260","중랑구","HL","상권축소","106","49","105","51"
"2019","3","11260","중랑구","HL","상권축소","106","49","106","52"
"2019","3","11380","은평구","LH","상권확장","102","52","106","52"
"2019","1","11590","동작구","HH","정체","110","56","107","53"
"2019","1","11620","관악구","LL","다이나믹","105","51","107","53"
"2019","1","11650","서초구","HH","정체","114","53","107","53"
"2019","1","11680","강남구","LL","다이나믹","98","49","107","53"
"2019","1","11710","송파구","LH","상권확장","105","53","107","53"
"2019","1","11740","강동구","LL","다이나믹","102","49","107","53"
"2019","2","11110","종로구","HH","정체","126","62","108","53"
"2019","2","11140","중구","HH","정체","132","62","108","53"
"2019","2","11170","용산구","HH","정체","117","57","108","53"
"2019","2","11200","성동구","LH","상권확장","104","56","108","53"
"2019","2","11215","광진구","LL","다이나믹","103","52","108","53"
"2019","2","11230","동대문구","HH","정체","120","56","108","53"
"2019","2","11260","중랑구","LL","다이나믹","105","50","108","53"
"2019","2","11290","성북구","HH","정체","110","55","108","53"
"2019","2","11305","강북구","LL","다이나믹","104","50","108","53"
"2019","2","11320","도봉구","LL","다이나믹","101","50","108","53"
"2019","2","11380","은평구","LL","다이나믹","102","52","108","53"
"2019","2","11620","관악구","LL","다이나믹","106","52","108","53"
"2019","2","11650","서초구","HH","정체","115","53","108","53"
"2019","2","11710","송파구","LH","상권확장","106","53","108","53"
"2019","3","11110","종로구","HH","정체","127","62","109","53"
"2019","3","11140","중구","HH","정체","134","62","109","53"
"2019","3","11170","용산구","HH","정체","119","57","109","53"
"2019","3","11200","성동구","LH","상권확장","105","57","109","53"
"2019","3","11215","광진구","LL","다이나믹","105","52","109","53"
"2019","3","11230","동대문구","HH","정체","121","56","109","53"
"2019","3","11260","중랑구","LL","다이나믹","107","50","109","53"
"2019","3","11290","성북구","HH","정체","111","55","109","53"
"2019","3","11305","강북구","LL","다이나믹","105","51","109","53"
"2019","3","11320","도봉구","LL","다이나믹","102","50","109","53"
"2019","3","11350","노원구","LL","다이나믹","101","51","109","53"
"2019","3","11380","은평구","LL","다이나믹","103","52","109","53"
"2019","3","11410","서대문구","HH","정체","113","55","109","53"
"2019","3","11440","마포구","LL","다이나믹","91","50","109","53"
"2019","3","11470","양천구","LL","다이나믹","104","50","109","53"
"2019","3","11620","관악구","LL","다이나믹","107","52","109","53"
"2019","3","11710","송파구","LH","상권확장","107","53","109","53"
"2019","4","11110","종로구","HH","정체","128","62","110","54"
"2019","4","11140","중구","HH","정체","134","62","110","54"
"2019","4","11170","용산구","HH","정체","120","57","110","54"
"2019","3","11620","관악구","HL","상권축소","106","51","106","52"
"2019","3","11710","송파구","LL","다이나믹","98","49","106","52"
"2019","3","11500","강서구","LL","다이나믹","94","50","109","53"
"2019","3","11530","구로구","LL","다이나믹","109","52","109","53"
"2019","3","11545","금천구","LL","다이나믹","103","51","109","53"
"2019","3","11560","영등포구","HH","정체","114","53","109","53"
"2019","3","11590","동작구","HH","정체","113","57","109","53"
"2019","3","11650","서초구","HH","정체","117","53","109","53"
"2019","3","11680","강남구","LL","다이나믹","101","49","109","53"
"2019","3","11740","강동구","LL","다이나믹","105","50","109","53"
"2019","4","11200","성동구","LH","상권확장","105","57","110","54"
"2019","4","11215","광진구","LL","다이나믹","105","52","110","54"
"2019","4","11230","동대문구","HH","정체","122","56","110","54"
"2019","4","11260","중랑구","LL","다이나믹","107","50","110","54"
"2019","4","11290","성북구","HH","정체","111","56","110","54"
"2019","4","11305","강북구","LL","다이나믹","105","51","110","54"
"2019","4","11320","도봉구","LL","다이나믹","103","51","110","54"
"2019","4","11350","노원구","LL","다이나믹","101","51","110","54"
"2019","4","11380","은평구","LL","다이나믹","104","53","110","54"
"2019","4","11410","서대문구","HH","정체","114","55","110","54"
"2019","4","11440","마포구","LL","다이나믹","92","50","110","54"
"2019","4","11470","양천구","LL","다이나믹","104","50","110","54"
"2019","4","11500","강서구","LL","다이나믹","94","50","110","54"
"2019","4","11530","구로구","LL","다이나믹","110","52","110","54"
"2019","4","11545","금천구","LL","다이나믹","104","52","110","54"
"2019","4","11560","영등포구","HH","정체","115","54","110","54"
"2019","4","11590","동작구","HH","정체","114","57","110","54"
"2019","4","11620","관악구","LL","다이나믹","108","52","110","54"
"2019","4","11650","서초구","HH","정체","118","54","110","54"
"2019","4","11680","강남구","LL","다이나믹","106","50","110","54"
"2019","4","11710","송파구","LL","다이나믹","110","53","110","54"
"2019","4","11740","강동구","LL","다이나믹","105","50","110","54"
"2019","1","11260","중랑구","HL","상권축소","105","49","104","51"
"2019","1","11110","종로구","HH","정체","125","62","107","53"
"2019","1","11140","중구","HH","정체","130","61","107","53"
"2019","1","11170","용산구","HH","정체","116","56","107","53"
"2019","1","11200","성동구","LH","상권확장","103","56","107","53"
"2019","1","11215","광진구","LL","다이나믹","103","51","107","53"
"2019","1","11230","동대문구","HH","정체","118","55","107","53"
"2019","1","11290","성북구","HH","정체","109","55","107","53"
"2019","1","11305","강북구","LL","다이나믹","103","50","107","53"
"2019","1","11320","도봉구","LL","다이나믹","100","50","107","53"
"2019","2","11350","노원구","LL","다이나믹","99","51","108","53"
"2019","2","11410","서대문구","HH","정체","112","55","108","53"
"2019","2","11440","마포구","LL","다이나믹","90","50","108","53"
"2019","2","11470","양천구","LL","다이나믹","103","50","108","53"
"2019","2","11500","강서구","LL","다이나믹","93","50","108","53"
"2019","2","11530","구로구","LL","다이나믹","107","51","108","53"
"2019","2","11545","금천구","LL","다이나믹","102","51","108","53"
"2019","2","11560","영등포구","HH","정체","113","53","108","53"
"2019","2","11590","동작구","HH","정체","112","56","108","53"
"2019","2","11680","강남구","LL","다이나믹","99","49","108","53"
"2019","2","11740","강동구","LL","다이나믹","103","49","108","53"
"2019","2","11380","은평구","LH","상권확장","101","52","105","51"
"2019","2","11620","관악구","HL","상권축소","105","51","105","51"
"2019","2","11650","서초구","HL","상권축소","111","51","105","51"
"2019","2","11710","송파구","LL","다이나믹","98","49","105","51"
